NAME,COUNT
com/asmproj/test/Testing_2.foo2()V @line: 116,1
com/asmproj/test/Testing_2.foo(I)Ljava/lang/String; @line: 129,1
com/asmproj/test/Testing_2$Scheduler.virtualMethod(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String; @line: 33,2
com/asmproj/test/Testing_2$myclass.execute()Ljava/lang/Object; @line: 17,1
com/asmproj/test/Testing_2$myclass.<init>(Lcom/asmproj/test/Testing_2;)V @line: 15,1
com/asmproj/test/Testing_2$Scheduler.<init>(Lcom/asmproj/test/Testing_2;)V @line: 28,1
com/asmproj/test/Testing_2.<init>()V @line: 5,1
com/asmproj/test/Testing_2.foo(I)Ljava/lang/String; @line: 132,2
com/asmproj/test/Testing_2.foo(I)Ljava/lang/String; @line: 121,3
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 75,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 72,5
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 67,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 64,5
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 60,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 59,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 56,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 54,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 47,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 43,1
com/asmproj/test/Testing_2.main([Ljava/lang/String;)V @line: 39,1
